User,Tweet
SauravDhanbad,neha rahulgandhi incindia oxfordword sambitswaraj incsandesh jmscindia dhruvrathe bjpindia amitshah amanchopra sudhirchaudhari narendramodi first aunti ji 😂 rahul havent threw bait😛 show foolish doesnt right applic issu loksabhaelect that throw bait chamcha justifi changerahulsavecongress
cool_only,shatrugansinha believ gandhi famili contribut much develop nation amp got know fact former parti bjp deni ticket patna useless amp charact less man patnakaravi
alokmehtaeditor,narendramodi amitshah realli shock bjp sadhvi leader prais gods parri take person opinion never learn read mahatma gandhi parti take strong action peopl blot nation
Muneshnality,vd savarkar group conspir kill mk gandhi kapur commiss bjpsupportsterrorist bjpsedemocracybachao bjp modi godsetheterrorist savarkar rss
just_indy3,sardesairajdeep sir bias toward bjpindia narendramodi amp pro incindia rahulgandhi amp anyth anti bjp
i_Kuldeeppathak,heard arvindkejriw answer question say bjp ne mahatma gandhi ka murder karwaya tha fact check bjp form th april gandhiji assassin th januari loksabhaelect elect arvindkejriw bjpindia ankittyagi
imdeepnaik,glove govern elect govern deserv mahatma gandhi gods bjp
vssanakan,gods love gods kill ajmal kasab kill rajiv gandhi kill say bjp mp candid nalin kumar kateel godsetheterrorist godsebhaktmodi loksabhaelect
eksadharanmard,congrat advanc rahulgandhi new prime minist kindustan incindia rahulgandhi modi abhoganyay ass abkibaarpaar
_itsKunalSingh,kapilmishraind kapilmishraind u mind u lost sens idiot u write thing shame act unfollow u kya socha tha aur kya nikala gandhi phele se hi mahan need peopl like u make mahan fool loksabhaelect
seggy74,thewirein khanumarfa rahulgandhi haha sooo much pr e exerciseth intent view media houseth journalist gandhi well known nowthi stupid thing cant fool peopl moreloksabhaelect
Umesh_189,godsethepatriot ppl feel patriotthey stop use inr rsrsrsr note gandhi photo amp start use coin addon dont take nation holiday amp ur work nd oct feel godsebhaktmodi godsetheterrorist bjp modi pragya
kumardurgesh262,rahulgandhi sir pray bigbroth join hand want leav bjp amp come congresspleas join us partysir loksabhaelect near also want work hard electioni request shri rahulgandhi ji
News29tv,mr gandhi prove modi told pappu break fact english dicsanrri modili abkibaarpaar loksabhaelect
Cdhar7,majorpoonia rahulgandhi except bjp moron everybodi understood joke brain drain parti want guy 😀😀😀
bhargavavaibhav,sadhvi gods patriot sadhvi gandhi great blame media say word gods elect commiss need report sadhviglorifiesgods bjp elect electioncommiss bjpsupportsterrorist gods
vikram140gulati,everyon know includ idol bjp know well elect fought plank rahul vs modi advantag rahulgandhi modi know show time start run rahulgandhi produc claim pm
Shamita62704890,rahulgandhi rahul gandhi oxford dictionari repli fake news shame suna tha pappu pagal hai par ye nahi patha tha ki pappu itna pagal hai tumhar maa ko aur kitna surr dard doge priyankagandhi bjp
ArjunVeerIsa,priyankagandhi fact find investig karwa lijiyegods set upjust toolhidden fact case conspir one hijack gandhi surnam mahatma gave girl got marri khan loksabhaelect gandhi gods
binoy_chacko,india soul attack successor nathuram gods mahatma gandhi nationalist bjpindia call ideolog need question concern india agre retweet let world know gandhi nathuramgods narendramodi
vinitamathur,priyankagandhi gods deshbhakt namo deshdrohi per bjp gods assasin gandhi make pak brother namo guestofbawaz pleas explain rahulgandhi priyankagandhi incindia swami iamnaiv
vinitamathur,gods deshbhakt namo deshdrohi per bjp gods assasin gandhi make pak brother namo guestofbawaz pleas explain rahulgandhi priyankagandhi incindia swami iamnaiv
nallaganesh,agentsaffron congress parti put k gandhi one denomin bjp sarkar put gandhi face currenc note know congress wala idea must put nehru indira gandhi denomin loksabhaelect
sasanksingh2592,oxfordword awar modili word practic feel everi indian rahulgandhi simpli highlight call new entri peopl complet miss humour loksabhaeelct rahulgandhi modi modili bjp congress
sasanksingh2592,narendramodi follow bunch thought rss talk lie rd write book titl lot lie lol request rahulgandhi launch one continu reveal loksabhaeelct indiaelect bjp
Mercyful_Servnt,never thought day would come gods would call deshbhakt new india terror accus may becom mp killer mahatma gandhi call patriot sick pragyasinghthakur loksabhaelect bjpsedemocracybachao bjp
kmsk4141,ani gandhi father nation terrorist doesnt knw histori terrrorist alway terrorist bjpsupportsterrorist bjpsedemocracybachao bengalburn decis gods gameofthron hyderabad kolkata loksabhaelect modili newstoday
Sagarsh65167205,bjp made mahatma gandhi icon dedic mani scheme comment sadhvipragya perfect exampl phrase aa bail mujh maar happen add fring element cuttheclutt shekhargupta bjp bjpindia yogendrayadav
Trendsetting123,zule luvdatta ashlonehunt satanicjumla riarev kadininda indosecular ecisveep spokespersoneci narendramodi wuntakal anthonysald varnish ranjangogoicji kpadmarani bainjal rahulgandhi kapilsib rkhuria mamataoffici debkanchan derekobrienmp advmajeedmemon pawankhera diliplohia zainabsikand manzoorsi feignshouri syedzafarbjp aayeff ichbinujjaini lawyerkhanmd deepind chilledharri harmoni tamil kanwal vinoddua vinodsharmaview dhruvrathe yadavakhilesh msgpahujaa yourgalneha veteran tabrezk prkshambedkar zoobear priyankasur ghanshyamtiwari ranjiton zule subscrib gods mean like mahatma gandhi even say respect work gandhi amp sacrific nation forc make statement bjp must told say sorri show colour later
rujulv,rahulgandhi rahulgandhi stop wast nation time your even funni anymor know your close win spoil parti imag whatsoev left blow away parti fund rahulgandhi bjp bjpindia
rsgdkl,nilanjanaroy goon bjpindiasmvolunt follow worship nathuram gods never know gandhi amp ishwarchandravidyasagar ishwarthey reali hire bjp destroy commun harmoni west bengal
TERIMAAKIJACK,want rahul gandhi know win lose alway sexi bitch eye except marriag propos ok go modi loksabhaelect modiobsess indianelect
joydeepghosh,opposit win seat bjpnda must mamtabanerje mamataoffici primeminist peopl northindia southindia westernindia none easternindia derekobrienmp naveenodisha ncbn rahulgandhi diymagazin pawankhera
