User,Tweet
DependraSingh17,amitshah pressconfer amit shah wont leav modi alon attend pcbcz know modi creat anoth reason viral blunder like cloud email cameraetc funni peopl pm yaar modihaitohgodsehai gods narendramodi amitshah pragyathakur bjpsupportsterrorist
DependraSingh17,pressconfer amit shah wont leav modi alon attend pcbcz know modi creat anoth reason viral blunder like cloud email cameraetc funni peopl pm yaar modihaitohgodsehai gods narendramodi amitshah pragyathakur bjpsupportsterrorist
touchsouldeep,thank ikamalhaasan rekindl murder mahathma gods nation wide get bog threaten today countri talk point mani bjp disarray includ modi hat
jacob3290,sagarikaghos narendramodi narendramodi express view statement unbias fair liber journalist dare ask rahul support tukdetukdegang gang aa jati hai mooh uthak 😏
firstpost,pm modi often criticis interact media held first press confer prime minist today day poll end think bjp lastminut attempt chang narendra modi imag mediafriendli
up_avi,first press confer pmmodi say bjp back power qampa pleasedemocrazi
SocioPoliticalW,overheard headlin tomorrow time indian pm conduct pressconfer year without answer question modi bjp rahulgandhi loksabhaelect
Deepspeaks_,final elect campaign come end winner elect commiss rule pm parti nda talk report card vision develop less opposit looser royal gandhi upa agenda modi hatao loksabhaelect
MServe2grow,modi big hit big miss 😍 period narendramodi amitshah rahulgandhi priyankagandhi jmscindia sachinpilot rahulgandhi pressmeet presidentkovind modiobsess elect electioncommiss electionnewstrack bengalburn rss
AnupamChaturvdi,social media market day sir congratul modi becom pm ki post banaan lage ya abhi waqt hai modi narendramodi namo
umakantsingh_IN,bjp notcross evencongresscertainli bjpget absolut major exit pollsthey modi rahul mediathought media duetheir dishonestybut honestaspart bjpcongressnot medialoksabhaelect modionbharat pressmeet pressconfer
santoshkumarjos,narendramodi amitshah parti pleas seat sure bjp win congratul
IdealistAadmi,mr narendramodi thank work done hell get vote loksabhaelect opposit modi voter say dont option credibl opposit
UniversePragati,last elect even ipl couldnt held strong govern sincer determin pm like narendramodi ipl ramzaan school exam mani event take place peac without fail modi ji amp govt achiev loksabhaelect
zhrashidi,great nation never ever forgiv narendramodi ji give ticket loksabhaelect pragyasinghthakur terror accus amp insult shahe hemant karkar amp great bapu mahatma gandhi publicli india amp indian never forgiv
manishbpl1,modihaitohgodsehai modifloppressconfer pressconfer host bjp head amitshah attend media also narendramodi 😊😊 narendramodi amitshah rahulgandhi incindia bjpindia bainjal shatrugansinha yadavtejashwi omarabdullah bjpindia
lokayat,actual pressur confer aaj ke baat kabhi mat bolana mr modi ko press confer lene ko modi press dono ka time wast hoga pressconfer modifloppressconfer loksabhaelect
zhrashidi,dear bhakt journalist paidmedia godimedia call journalist come modi press confer modi sit silent listen duti amit shah obedi school kid pressconfer rahulgandhi modifloppressconfer
ootzchakra,loksabhaelect determin direct india amp futur gener whether india remain develop countri whether realiz potenti becom develop countri yr depend whether narendramodi get full major vote bjp
ojhaanjali,meanwhil bjp distanc pragya thakur statement gandhi pm condemn bjp presid amitshah said dont regret give ticket call satyagraha theori hinduterror
RAKESH_JAMES,mr modi puppet amitt shaji bjp chowkidar chowkidarchorhain modipressconfer need educacion
Darthmole09,biggest achiev modi last year bring rahulgandhi amp mahamilavat fan closet right fb amp twitter timelin
affan_alig,first press confer year singl question answer that mr modi guy loksabhaelect pressconfer
gajender00,modi get nd term pm worri opposit worri amit shah get elect mp loksabhaelect becom hm
TanaySukumar,modiji friendzon press love way narendramodi pressconfer electionnew media bjp pmmodi
noufalmoopans,bjpindia amitshah narendramodi seen substitut footbal cricket first time see someon substitut first ever press confress congrat modi first final press meet pm rahulgandhi ndtv pmoindia
IndiaUnfolding,modi come back govern may rd liberandu sardesairajdeep sagarikaghos et defend yet anoth loss rahulgandhi loksabhaelect
